(10;4.2)
(12;3.5)
(14;3)
(16;2.625)
(19;2.57895)
(22;2.86364)
(26;3.5)
(31;3.83871)
(37;4.35135)
(44;4.93182)
(52;5.25)
(62;5.41935)
(74;7.56757)
(88;7.47727)
(105;7.4)
(126;7.33333)
(151;7.27815)
(181;7.23204)
(217;7.19355)
(260;7.16154)
(312;7.13462)
(374;7.1123)
(448;7.09375)
(537;7.07821)
(644;7.16304)
(772;7.23575)
(926;7.26458)
(1111;7.18272)
(1333;7.14179)
(1599;7.02627)
(1918;7.0219)
(2301;7.01825)
(2761;7.01521)
(3313;7.01268)
(3975;7.01057)
(4770;7.03229)
(5724;7.02935)
(6868;7.02854)
(8241;7.02548)
(9889;7.02619)
(11866;7.0236)
(14239;7.02409)
(17086;7.02253)
(20503;7.02253)
(24603;7.03699)
(29523;7.04861)
(35427;7.08714)
(42512;7.10933)
(51014;7.11773)
(61216;7.11812)
(73459;4.09197)
(88150;4.09207)
(105780;4.09178)
(126936;4.09154)
(152323;4.09165)
(182787;4.09174)
(219344;4.0916)
(263212;4.09293)
(315854;4.11016)
(379024;4.11469)
(454828;4.11443)
(545793;4.11428)
(654951;4.11435)
(785941;4.11414)
(943129;4.13331)
(1131754;4.15961)
(1358104;4.24332)
(1629724;4.33851)
(1955668;4.42783)
(2346801;4.52484)
(2816161;4.55233)
(3379393;4.55447)
(4055271;4.56017)
(4866325;4.57531)
(5839590;4.56833)
