(10;2.4)
(12;2)
(14;1.71429)
(16;1.5)
(19;1.47368)
(22;1.45455)
(26;1.84615)
(31;2.19355)
(37;2.59459)
(44;2.81818)
(52;3)
(62;3.16129)
(74;4.32432)
(88;4.27273)
(105;4.22857)
(126;4.19048)
(151;4.15894)
(181;4.1326)
(217;4.1106)
(260;4.09231)
(312;4.07692)
(374;4.06417)
(448;4.05357)
(537;4.04469)
(644;4.03727)
(772;4.03109)
(926;4.02592)
(1111;4.0216)
(1333;4.018)
(1599;4.01501)
(1918;4.01251)
(2301;4.01043)
(2761;4.00869)
(3313;4.00724)
(3975;4.00604)
(4770;4.01845)
(5724;4.01817)
(6868;4.01689)
(8241;4.01602)
(9889;4.01497)
(11866;4.0145)
(14239;4.01348)
(17086;4.0309)
(20503;4.02965)
(24603;4.02943)
(29523;4.0378)
(35427;4.06142)
(42512;4.08892)
(51014;4.0879)
(61216;4.09239)
(73459;4.09251)
(88150;4.09248)
(105780;4.09212)
(126936;4.09179)
(152323;4.09188)
(182787;4.09193)
(219344;4.09166)
(263212;4.09325)
(315854;4.1107)
(379024;4.11436)
(454828;4.11528)
(545793;4.115)
(654951;4.11467)
(785941;4.11495)
(943129;4.1193)
(1131754;4.16349)
(1358104;4.23662)
(1629724;4.35867)
(1955668;4.45326)
(2346801;4.55051)
(2816161;4.56947)
(3379393;4.5747)
(4055271;4.57761)
(4866325;4.58893)
(5839590;4.58971)
